,Time,Article title,Author,Link
0,01:38 PM,UkraineTrump calls Zelenskyy a dictator and tells him to ‘move fast’ or lose countryRemarks follows Ukrainian leader’s claim US president living in a Russian ‘disinformation bubble’5h agoEurope liveTrump tells Zelenskyy ‘move fast’ or lose countryUkraineTrump blames Ukraine over war with RussiaUSReagan-era Republicans aghast as Trump turns Russia policy on its head,Unknown,https://www.theguardian.com//world/2025/feb/19/ukraine-zelenskyy-says-trump-living-in-russian-disinformation-bubble
1,06:01 PM,US politics liveMusk boasts about ‘thrashing bureaucracy’ as Trump expands power grab over independent agencies23m ago,Unknown,https://www.theguardian.com//us-news/live/2025/feb/19/trump-musk-ukraine-executive-orders-doge-politics-latest-updates
2,05:24 PM,"EnvironmentMelting glaciers caused almost 2cm of sea level rise this century, study reveals1h ago",Unknown,https://www.theguardian.com//environment/2025/feb/19/melting-glaciers-cause-almost-2cm-of-sea-level-rise-this-century-study-reveals
3,04:26 PM,BrazilBritish journalist missing in Brazil for 11 days2h ago,Unknown,https://www.theguardian.com//world/2025/feb/19/british-journalist-charlotte-peet-missing-in-brazil-for-more-than-10-days
4,04:30 PM,Israel-Gaza warHamas offers handover of all hostages to Israel if next phase of ceasefire agreed2h ago,Unknown,https://www.theguardian.com//world/2025/feb/19/hamas-hostages-israel-gaza-ceasefire-agreement-second-phase
5,Unknown,WorldThousands rescued from illegal scam compounds in Myanmar as Thailand launches huge crackdown,Unknown,https://www.theguardian.com//world/2025/feb/19/myanmar-scam-call-centre-compound-rescues-thailand-crackdown
6,05:41 PM,IndiaHundreds of books seized from stores in Kashmir as Indian police crack down on dissent43m ago,Unknown,https://www.theguardian.com//books/2025/feb/19/hundreds-of-books-seized-from-stores-in-kashmir-as-indian-police-crack-down-on-dissent
7,04:00 PM,TechnologyMicrosoft unveils chip it says could bring quantum computing within years2h ago,Unknown,https://www.theguardian.com//technology/2025/feb/19/topoconductor-chip-quantum-computing-topological-qubits-microsoft
8,12:13 PM,TechnologyEU accused of leaving ‘devastating’ copyright loophole in AI Act6h ago,Unknown,https://www.theguardian.com//technology/2025/feb/19/eu-accused-of-leaving-devastating-copyright-loophole-in-ai-act
9,11:46 AM,BusinessKFC to become Texas fried chicken in HQ move to low-tax state7h ago,Unknown,https://www.theguardian.com//business/2025/feb/19/kfc-to-become-texas-fried-chicken-in-hq-move-to-low-tax-state
